Line,id,Column,Row,Grid,Flowering_time,Plant_height,Leaf_area,Violaxanthin,Lutein,Betacarotene,Alphatocopherol,Total_carotenoids,log.Leaf_area,log.Alphatocopherol
F2,134,5,31,7,45,158,57.874,5.246365791,20.78544242,40.12354328,122.0514577,66.15535149,4.058268234,4.80444274
F2,99,5,30,8,42,172,97.368,4.721530482,18.86525127,41.4116439,64.90963733,64.99842565,4.578497615,4.172996108
F2,174,5,29,8,44,178,123.744,5.067822955,23.63862865,47.43930449,35.78110006,76.1457561,4.818214915,3.577419823
F2,40,5,28,8,48,132,34.424,5.133890139,21.85951573,47.12176936,16.89246598,74.11517523,3.538753996,2.826867723
F2,129,5,27,8,36,166,43.405,5.297112737,25.32018655,61.67788162,30.31947888,92.29518091,3.770574642,3.411790373
F2,200,5,26,8,37,176,50.911,6.651653136,27.5705416,63.12696313,35.5320798,97.34915787,3.93007901,3.570435945
F2,107,5,25,8,43,128,59.783,3.274474497,17.80163283,43.80629473,37.86756143,64.88240206,4.09072134,3.634094847
F2,165,1,21,3,43,132,54.702,6.152141343,24.41548379,52.34831168,57.874453,82.91593681,4.001900272,4.058276061
F2,34,5,22,9,47,192,62.329,4.753773896,27.65638346,59.11929602,89.82013215,91.52945338,4.132426807,4.497809139
F2,26,5,21,9,-,-,-,-,-,-,-,-,-,-
F2,179,5,20,9,32,115,21.061,5.59686067,18.78051623,48.59202646,85.94233193,72.96940336,3.047422989,4.453676512
F2,184,5,19,9,36,120,37.175,3.206550573,19.43087116,45.23104455,70.01007531,67.86846628,3.615636492,4.248639165
F2,71,5,18,10,38,153,80.802,8.851459722,29.66701606,63.53312086,54.47820125,102.0515966,4.392001718,3.997800645
F2,204,5,17,10,32,162,78.455,8.24304268,27.89274687,65.93247765,41.61744228,102.0682672,4.362525212,3.728519365
F2,144,5,16,10,32,138,42.599,8.466698902,23.90343585,58.82728296,41.09334476,91.19741771,3.751830779,3.71584618
F2,161,5,15,10,40,146,28.066,5.591461268,21.58837898,54.23699367,40.12050158,81.41683392,3.334558879,3.691887465
F2,89,5,14,10,-,-,56.239,4.082925426,24.30264473,56.11531651,18.23532969,84.50088667,4.029610466,2.903360904
F2,25,5,13,10,36,110,101.86,3.326210474,20.40880281,56.29215735,63.34786602,80.02717063,4.623599321,4.148641221
F2,44,1,19,3,32,135,17.52,12.23447247,31.60440937,83.73298281,31.40941686,127.5718647,2.863343086,3.447107748
F2,176,5,12,11,32,115,27.613,5.20997933,23.61742451,55.31731798,51.33663957,84.14472182,3.318286676,3.938404719
F2,185,5,11,11,44,117,14.3,5.511790815,25.4746301,50.24328999,19.62182105,81.22971091,2.660259537,2.976642266
F2,190,5,10,11,37,121,56.727,7.972518357,28.65542696,59.7424553,48.18906796,96.37040062,4.038250288,3.87513219
F2,164,5,9,11,35,157,21.81,9.354014329,26.4817527,59.83422285,44.97274861,95.66998988,3.08236858,3.80605672
F2,208,5,8,11,45,128,39.416,6.014965175,25.9299075,63.31184905,104.2361699,95.25672173,3.674171825,4.646659189
F2,201,5,6,12,31,108,29.835,4.662002907,19.53163422,41.74804897,23.13056341,65.9416861,3.395682201,3.141154834
F2,33,5,5,12,35,128,28.866,5.079111455,16.88368101,35.85096096,27.75333569,57.81375343,3.362664432,3.323356038
F2,24,5,4,12,39,175,73.084,6.225191911,21.2745669,58.46460554,74.10425754,85.96436435,4.291609465,4.305472987
F2,154,1,18,4,37,140,72.229,8.542474487,30.82691904,64.96183546,18.89026807,104.331229,4.279841627,2.938646873
F2,195,5,1,12,48,136,106.897,6.279258243,22.57232354,54.93210355,37.937312,83.78368533,4.671865754,3.635935113
F2,133,6,1,12,31,137,59.717,6.855239068,27.12236449,55.76075698,56.44059709,89.73836054,4.089616737,4.033188706
F2,167,6,2,12,34,107,29.268,7.449626206,18.44876332,38.00264179,22.83096807,63.90103132,3.376494769,3.128117863
F2,61,6,3,12,36,134,11.82,6.078422927,23.49544765,46.85777934,43.10018535,76.43164992,2.469793012,3.763527298
F2,32,6,4,12,31,130,34.326,4.205634053,16.83739015,39.09117317,45.84574121,60.13419737,3.535903085,3.825282309
F2,23,6,5,12,43,204,48.798,10.78645916,26.03740506,49.38709146,36.41775291,86.21095568,3.887689328,3.595056373
F2,146,6,6,12,34,173,64.791,9.282244993,23.44988959,52.98504419,54.0064157,85.71717877,4.171166705,3.989102849
F2,187,6,7,11,31,81,35.235,4.209527082,17.10419118,38.46247222,114.1791015,59.77619048,3.562039907,4.737768281
F2,147,6,8,11,36,166,67.851,9.259244473,26.91763577,55.00871373,81.32676888,91.18559397,4.217314125,4.398475223
F2,177,6,9,11,31,103,21.194,4.608622533,21.31129372,39.92201254,92.7769986,65.84192879,3.053718123,4.530198749
F2,93,1,17,4,38,99,31.877,8.351540142,30.29658804,75.46541317,50.59319941,114.1135414,3.461884747,3.923817168
F2,198,6,10,11,32,114,39.416,5.213133354,18.67758499,41.20565518,25.56458526,65.09637352,3.674171825,3.241208005
F2,38,6,11,11,26,105,-,5.754822025,18.84099722,42.65124181,48.48905817,67.24706106,-,3.881338168
F2,142,6,12,11,32,115,12.791,6.943087588,30.16413084,59.09061945,21.93170159,96.19783788,2.548741799,3.087933151
F2,22,6,13,10,41,183,40.192,6.006270698,26.4395337,55.78513077,51.85592407,88.23093517,3.693667971,3.948469182
F2,100,6,14,10,32,152,37.826,6.898178105,27.93553153,64.58593213,22.12417688,99.41964177,3.632996697,3.096670987
F2,180,6,15,10,34,136,38.708,11.7614841,30.9997649,68.40163131,46.6218975,111.1628803,3.656046297,3.842070334
F2,109,6,16,10,39,140,26.601,4.363402905,12.01245684,32.55056319,23.74320616,48.92642294,3.280948809,3.167296433
F2,205,6,17,10,30,113,55.052,5.612517212,23.15824719,50.83190483,31.80595719,79.60266923,4.008278193,3.459653605
F2,87,6,18,9,34,108,25.732,8.015066101,22.89742355,47.41745288,61.69089437,78.32994253,3.247735354,4.122136341
F2,37,6,19,9,32,119,68.293,9.175557648,20.91317484,54.04616565,28.39179841,84.13489814,4.223807272,3.346100315
F2,117,1,16,4,44,134,90.37,6.404649113,21.41952106,57.85246793,66.06217466,85.6766381,4.503912354,4.190596339
F2,16,6,23,9,37,100,44.807,5.588291084,18.56717594,46.69600794,22.94215984,70.85147496,3.802364377,3.132976259
F2,13,6,24,9,32,145,50.661,6.830191136,19.49186909,43.44919522,37.47303934,69.77125545,3.925156384,3.623621723
F2,10,6,25,8,38,118,34.485,5.296297248,21.93986851,46.8648022,31.38956016,74.10096796,3.540524447,3.446475359
F2,7,6,26,8,36,98,47.61,8.361329361,19.24083332,41.31420644,32.05197894,68.91636912,3.863042823,3.467358927
F2,5,6,27,8,41,178,44.413,4.920757922,18.72224332,46.47897228,85.60831802,70.12197352,3.793532219,4.449782452
F2,122,6,28,8,28,80,15.808,2.85182878,19.76594693,35.28879131,53.06628153,57.90656702,2.760516141,3.971541727
F2,63,6,30,8,34,142,45.531,6.330128475,26.30196265,53.01754488,90.68808164,85.64963601,3.818393413,4.507425944
F2,18,6,31,7,32,110,18.373,6.541058393,21.17859173,48.61705612,13.64089402,76.33670624,2.910882196,2.613072194
F2,54,1,34,1,42,138,92.233,8.400573258,33.59549741,79.19070714,35.19215199,121.1867778,4.524317984,3.560823103
F2,114,1,15,4,31,98,27.57,9.472982092,26.13707632,72.45277477,35.93655165,108.0628332,3.316728225,3.581754929
F2,15,6,32,7,36,106,-,4.833528208,16.94100266,35.44642127,26.54075005,57.22095214,-,3.27868129
F2,98,6,33,7,32,92,32.043,6.61981793,23.78803658,61.03013277,32.72117563,91.43798728,3.467078751,3.488022441
