Line,ID,Column,Row,Grid,meanLength,meanWidth,meanLeng6,meanVD_in_um.mm2,flowering.time,plant.height..cm.,leaf.weight,leaf_area..cm².,Violaxanthin..ug.g.,Lutein..ug.g.,Betacarotene..ug.g.,Alphatocopherol..ug.g.,Total_carotenoids..ug.g.,noout.meanLength,noout.meanWidth,noout.meanVD_in_um.mm2,noout.flowering.time,noout.plant.height..cm.,noout.leaf.weight,noout.leaf_area,noout.Alphatocopherol..ug.g.,sqrt.noout.meanVD_in_um.mm2,cbrt.flowering.time,sqaure.plant.height..cm.,logPls1.leaf.weight,sqrt.leaf.area,log.Alphatocopherol..ug.g.
F2,18,1,17,4,48.29580556,130.2639722,295.594,6312.601667,50,75,1.5,73.93333333,19.22677793,41.47410082,95.95238514,31.09887531,156.6532639,48.29580556,130.2639722,6312.601667,50,75,1.5,73.93333333,31.09887531,79.45188272,3.684031499,5625,0.916290732,8.598449472,3.437171655
F2,19,1,16,4,50.82922222,124.21375,287.538,6582.089552,38,62,1,42.7,14.18858912,43.78033202,102.2603287,17.85180593,160.2292499,50.82922222,124.21375,6582.089552,38,62,1,42.7,17.85180593,81.13007797,3.361975407,3844,0.693147181,6.534523701,2.882104676
F2,20,1,15,4,56.56219445,143.6658333,304.6933333,6141.37573,35,58,0.4,22.4,14.10698414,32.4017092,76.29835707,8.051034476,122.8070504,56.56219445,143.6658333,6141.37573,35,58,0.4,22.4,8.051034476,78.36693008,3.27106631,3364,0.336472237,4.732863826,2.08580059
F2,21,1,14,4,34.35080556,103.3584167,227.374,8864.243997,35,33,0.3,10.16666667,13.63375152,38.15393838,91.35167815,24.36799654,143.139368,34.35080556,103.3584167,,35,33,0.3,10.16666667,24.36799654,,3.27106631,1089,0.262364264,3.188521079,3.193270654
F2,22,1,13,4,37.41444445,109.1431945,204.5141667,7806.143199,37,57,0.6,27.33333333,13.50815473,26.9265733,67.74937542,22.97397859,108.1841035,37.41444445,109.1431945,7806.143199,37,57,0.6,27.33333333,22.97397859,88.35238083,3.332221852,3249,0.470003629,5.228129047,3.13436221
F2,23,1,12,4,32.23688889,115.42375,198.6371667,8036.826736,38,60,0.6,28.13333333,12.49436713,38.16880906,93.28577288,16.61908799,143.9489491,32.23688889,115.42375,8036.826736,38,60,0.6,28.13333333,16.61908799,89.64835044,3.361975407,3600,0.470003629,5.304086475,2.810551914
F2,24,1,11,5,49.56675,131.7184722,312.5963333,7271.414666,40,57,0.5,24.33333333,12.58190009,37.83205913,98.88627235,17.07163665,149.3002316,49.56675,131.7184722,7271.414666,40,57,0.5,24.33333333,17.07163665,85.27259036,3.419951893,3249,0.405465108,4.932882862,2.837418411
F2,25,1,10,5,48.83008333,119.1502778,293.5521667,7197.598962,37,73,0.7,35.76666667,13.92321693,39.23001921,76.70192655,4.278055134,129.8551627,48.83008333,119.1502778,7197.598962,37,73,0.7,35.76666667,4.278055134,84.83866431,3.332221852,5329,0.530628251,5.980523946,1.453498498
F2,26,1,9,5,50.2189,120.1860667,281.2738,6382.219338,43,43,0.7,26.76666667,16.71234617,37.10090276,85.96725899,7.081463593,139.7805079,50.2189,120.1860667,6382.219338,43,43,0.7,26.76666667,7.081463593,79.88879357,3.50339806,1849,0.530628251,5.173651193,1.957480609
F2,27,1,8,5,48.55091667,,,6597.988319,38,53,0.6,27.76666667,11.36330271,26.85984365,57.5472708,3.333182804,95.77041716,48.55091667,,6597.988319,38,53,0.6,27.76666667,3.333182804,81.22800206,3.361975407,2809,0.470003629,5.269408569,1.203927645
F2,28,1,7,5,50.55925,138.9595,322.7036667,6199.080682,34,56,0.8,34.96666667,9.483753525,24.00884689,53.52998816,25.99833386,87.02258857,50.55925,138.9595,6199.080682,34,56,0.8,34.96666667,25.99833386,78.73424085,3.239611801,3136,0.587786665,5.913261931,3.258032454
F2,29,1,6,6,37.3009,122.3844667,222.3686,6836.545535,48,48,1,45.86666667,11.7184265,39.61126524,78.98704889,6.064287857,130.3167406,37.3009,122.3844667,6836.545535,48,48,1,45.86666667,6.064287857,82.68340544,3.634241186,2304,0.693147181,6.772493386,1.802417117
F2,30,1,5,6,56.11933333,144.7811667,307.0865,6175.535367,34,78,0.5,25.43333333,8.577328124,30.45330198,65.94596175,22.12848349,104.9765919,56.11933333,144.7811667,6175.535367,34,78,0.5,25.43333333,22.12848349,78.58457461,3.239611801,6084,0.405465108,5.043147165,3.096865624
F2,31,1,4,6,48.44466667,123.7885833,242.3868333,6800.584036,34,59,0.2,10.53333333,3.936625589,40.45231392,85.62753313,7.599514169,130.0164726,48.44466667,123.7885833,6800.584036,34,59,0.2,10.53333333,7.599514169,82.46565367,3.239611801,3481,0.182321557,3.245509718,2.02808432
F2,32,1,3,6,51.69141667,130.9083056,338.996,6375.708416,41,51,0.4,18.06666667,7.139811694,16.51199391,40.28771504,7.304263156,63.93952065,51.69141667,130.9083056,6375.708416,41,51,0.4,18.06666667,7.304263156,79.84803326,3.44821724,2601,0.336472237,4.250490168,1.988458172
F2,33,1,1,6,43.69026667,,,6850.47588,40,63,1.1,23.63333333,10.6103113,31.87077077,72.60710348,9.317068188,115.0881856,43.69026667,,6850.47588,40,63,1.1,23.63333333,9.317068188,82.76760163,3.419951893,3969,0.741937345,4.861412689,2.231848007
F2,34,2,1,6,55.13761111,159.1801111,331.2393333,5836.437378,,,,,,,,,,55.13761111,,5836.437378,,,,,,76.39657962,,,,,
F2,35,2,2,6,42.27866667,122.6561389,267.3578333,5614.157475,40,52,0.2,8.7,10.78229189,29.50470899,59.69183241,42.7327479,99.97883329,42.27866667,122.6561389,5614.157475,40,52,0.2,8.7,,74.92768163,3.419951893,2704,0.182321557,2.949576241,3.754965556
F2,36,2,3,6,65.85647222,152.9081945,380.0881667,5603.406879,41,66,1.8,64.6,13.59419703,43.1869831,89.68186453,12.08395802,146.4630447,,152.9081945,5603.406879,41,66,1.8,64.6,12.08395802,74.85590744,3.44821724,4356,1.029619417,8.037412519,2.49187879
F2,37,2,4,6,47.31019445,136.4747222,276.2971667,5867.477827,40,50,0.8,36,10.04042844,30.65743326,70.38522598,28.35625582,111.0830877,47.31019445,136.4747222,5867.477827,40,50,0.8,36,28.35625582,76.59946362,3.419951893,2500,0.587786665,6,3.34484767
F2,38,2,5,6,46.76223333,,,6358.825438,40,56,0.8,31.03333333,11.01199223,36.69927839,78.88877613,16.31904364,126.6000467,46.76223333,,6358.825438,40,56,0.8,31.03333333,16.31904364,79.74224375,3.419951893,3136,0.587786665,5.57075698,2.792332747
F2,39,2,6,6,39.38797222,108.3908889,244.8523333,6918.083497,41,52,0.4,17.8,9.789408199,21.60953623,47.76250732,16.95515968,79.16145176,39.38797222,108.3908889,6918.083497,41,52,0.4,17.8,16.95515968,83.17501726,3.44821724,2704,0.336472237,4.219004622,2.830572193
F2,40,2,7,5,49.57402778,121.8923611,300.833,6285.69111,35,46,0.5,22.4,15.59133503,40.1028384,92.36082637,22.9593582,148.0549998,49.57402778,121.8923611,6285.69111,35,46,0.5,22.4,22.9593582,79.28235056,3.27106631,2116,0.405465108,4.732863826,3.133725618
F2,41,2,8,5,48.99055556,131.3228611,300.415,6320.971232,34,71,0.3,14.8,6.828402378,17.80275754,38.94872062,5.538398287,63.57988054,48.99055556,131.3228611,6320.971232,34,71,0.3,14.8,5.538398287,79.50453592,3.239611801,5041,0.262364264,3.847076812,1.711705341
F2,42,2,9,5,37.4645,104.9669444,231.8161667,6633.874108,39,41,0.4,20.2,11.14455699,26.8004189,57.90361247,25.71939062,95.84858836,37.4645,104.9669444,6633.874108,39,41,0.4,20.2,25.71939062,81.44859795,3.391211443,1681,0.336472237,4.494441011,3.247245206
F2,43,2,11,5,46.90175,118.3964167,274.3343333,6429.158554,37,75,0.4,18.96666667,12.42954075,26.26017542,59.29170585,42.13298533,97.98142202,46.90175,118.3964167,6429.158554,37,75,0.4,18.96666667,,80.18203386,3.332221852,5625,0.336472237,4.35507367,3.740830933
F2,44,2,12,5,48.77363889,101.2350556,293.5246667,5884.133679,36,48,1.1,42.3,9.987978005,27.34257557,63.20135999,4.457407227,100.5319136,48.77363889,101.2350556,5884.133679,36,48,1.1,42.3,4.457407227,76.708107,3.301927249,2304,0.741937345,6.503845017,1.494567258
F2,45,2,13,4,41.44236111,125.2825556,276.547,7319.073114,40,52,0.5,24.73333333,5.96343813,12.453863,25.01427197,24.3470381,43.4315731,41.44236111,125.2825556,7319.073114,40,52,0.5,24.73333333,24.3470381,85.5515816,3.419951893,2704,0.405465108,4.97326184,3.192410204
F2,46,2,14,4,40.96419444,109.5182222,268.917,6825.340688,41,52,0.3,15.9,15.34010679,33.49547252,82.77964393,40.90474674,131.6152232,40.96419444,109.5182222,6825.340688,41,52,0.3,15.9,,82.61562012,3.44821724,2704,0.262364264,3.987480407,3.711246114
